Date,High,Low,Open,Close,Volume,Adj Close,5_p,10_p,20_p,50_p,WVAP_1,WVAP_2,RSI,12,26,MACD,Signal
2020-01-28,67.58,65.94,66.5,67.31,30915400,66.604,65.504,62.57,,,,,76.258,63.222,61.849,1.373,0.46
2020-01-29,68.06,66.17,67.63,66.33,18055800,65.634,66.224,63.26,,,,,72.229,63.7,62.18,1.519,0.672
2020-01-30,66.5,64.93,65.64,66.47,18522400,65.773,66.854,64.013,61.755,,62.904,,74.819,64.126,62.498,1.628,0.863
2020-01-31,65.98,63.67,65.8,63.93,25268400,63.259,65.946,64.44,61.909,,63.026,,62.566,64.096,62.604,1.492,0.989
2020-02-03,65.04,64.3,64.46,64.42,16646600,63.744,65.692,64.922,62.125,,63.157,,63.835,64.146,62.739,1.407,1.072
2020-02-04,66.06,64.92,65.77,65.46,20970800,64.773,65.322,65.413,62.402,,63.36,,64.021,64.348,62.94,1.408,1.139
2020-02-05,67.6,66.13,66.69,67.34,23401400,66.634,65.524,65.874,62.822,,63.724,,63.393,64.808,63.266,1.542,1.22
2020-02-06,67.4,66.77,67.3,67.09,17408000,66.713,65.648,66.251,63.228,,64.051,,61.174,65.159,63.549,1.61,1.298
2020-02-07,67.3,66.01,66.86,66.02,18134600,65.649,66.066,66.006,63.564,,64.293,,40.422,65.292,63.732,1.559,1.35
2020-02-10,66.4,65.44,65.56,66.39,22299300,66.017,66.46,66.076,63.937,,64.538,,53.372,65.461,63.929,1.531,1.386
2020-02-11,67.71,66.57,66.83,67.41,17975600,67.031,66.85,66.086,64.328,,64.792,,50.511,65.761,64.187,1.573,1.424
2020-02-12,68.09,67.31,67.6,67.46,15586600,67.081,66.874,66.199,64.729,,65.046,,56.384,66.022,64.43,1.592,1.457
2020-02-13,67.65,66.74,66.99,67.44,11602700,67.061,66.944,66.296,65.154,,65.319,,55.556,66.24,64.653,1.588,1.483
2020-02-14,67.86,66.82,67.52,67.27,13405500,66.892,67.194,66.63,65.535,,65.608,,76.258,66.399,64.846,1.552,1.497
2020-02-18,66.69,65.88,66.66,66.14,12758400,65.768,67.144,66.802,65.862,,65.884,,62.286,66.359,64.942,1.417,1.481
2020-02-19,67.2,66.18,66.39,67.11,13551200,66.733,67.084,66.967,66.19,,66.231,,61.905,66.474,65.103,1.372,1.459
2020-02-20,67.29,64.56,67.04,65.45,26452600,65.082,66.682,66.778,66.326,,66.403,,35.917,66.317,65.129,1.188,1.405
2020-02-21,65.25,64.04,65.18,64.34,20775900,63.979,66.062,66.503,66.377,,66.597,,31.836,66.013,65.07,0.943,1.312
2020-02-24,62.77,61.32,61.61,61.76,26903100,61.413,64.96,66.077,66.041,,65.877,,26.542,65.358,64.825,0.533,1.157
2020-02-25,62.28,59.46,61.99,59.73,34495700,59.394,63.678,65.411,65.743,,65.368,,18.994,64.492,64.448,0.045,0.934
2020-02-26,60.82,59.27,60.11,59.65,26190100,59.315,62.186,64.635,65.36,,64.844,,10.408,63.747,64.092,-0.345,0.679
2020-02-27,58.51,55.8,57.93,55.83,42208600,55.516,60.262,63.472,64.835,,63.885,,7.148,62.529,63.48,-0.951,0.353
2020-02-28,56.38,53.6,54.3,55.52,60728000,55.208,58.498,62.28,64.288,,62.694,,6.999,61.451,62.891,-1.439,-0.006
2020-03-02,58.22,54.52,55.79,58.18,43140300,57.853,57.782,61.371,64,,62.227,,22.202,60.948,62.542,-1.594,-0.323
2020-03-03,59.02,55.4,58.03,55.97,49740300,55.656,57.03,60.354,63.578,,61.556,,20.826,60.182,62.055,-1.873,-0.633
2020-03-04,58.71,56.16,57.01,58.68,29223100,58.35,56.836,59.511,63.239,,61.24,,28.013,59.951,61.805,-1.854,-0.877
2020-03-05,58.66,56.61,57.06,56.96,29099200,56.64,57.062,58.662,62.72,,60.738,,27.925,59.491,61.446,-1.955,-1.093
2020-03-06,56.01,54.54,55.18,55.77,36259200,55.457,57.112,57.805,62.154,,60.21,,27.809,58.918,61.026,-2.107,-1.296
2020-03-09,52.71,50,51.92,50.85,56197000,50.564,55.646,56.714,61.395,,59.137,,24.804,57.677,60.272,-2.595,-1.556
2020-03-10,54,50.43,52.76,53.98,36569000,53.677,55.248,56.139,60.775,,58.556,,37.363,57.108,59.806,-2.697,-1.784
2020-03-11,53.54,51.01,52.39,51.66,38563500,51.37,53.844,55.34,59.987,,57.874,,34.014,56.27,59.202,-2.932,-2.014
2020-03-12,50.09,45.37,47.99,45.54,50661700,45.284,51.56,54.311,58.891,,56.698,,31.147,54.619,58.19,-3.571,-2.325
2020-03-13,55,47.74,48.26,54.43,48805100,54.124,51.292,54.202,58.241,61.258,56.36,,48.481,54.59,57.912,-3.322,-2.524
2020-03-16,52.25,43.63,47.51,44.61,53878900,44.359,50.044,52.845,57.108,60.933,55.301,,34.232,53.055,56.926,-3.872,-2.794
2020-03-17,51.63,45.2,45.76,50.08,52085200,49.799,49.264,52.256,56.305,60.733,54.772,,43.638,52.597,56.419,-3.822,-3
2020-03-18,50.05,45.2,46.71,47.61,49309900,47.343,48.454,51.149,55.33,60.486,54.131,,37.98,51.83,55.767,-3.937,-3.187
2020-03-19,49.23,45.16,47.84,45.94,44538000,45.682,48.534,50.047,54.355,60.226,53.33,,38.022,50.924,55.039,-4.115,-3.373
2020-03-20,49.42,45.47,46.51,45.83,52344000,45.573,46.814,49.053,53.429,59.964,52.608,,38.936,50.14,54.357,-4.217,-3.541
2020-03-23,50.49,45.91,46.02,49.58,46698500,49.302,47.808,48.926,52.82,59.769,52.168,,48.549,50.054,54.003,-3.949,-3.623
2020-03-24,54.64,51.35,53.14,52.4,50019800,52.106,48.272,48.768,52.454,59.638,51.89,,48.181,50.415,53.884,-3.469,-3.592
2020-03-25,53.79,49.91,52.48,51.26,41106100,50.972,49.002,48.728,52.034,59.472,51.639,,49.527,50.545,53.69,-3.145,-3.503
2020-03-26,55.95,51.66,51.74,55.54,41459800,55.228,50.922,49.728,52.02,59.394,51.622,,62.37,51.313,53.827,-2.513,-3.305
2020-03-27,54.64,52.07,53.42,52.37,31633500,52.076,52.23,49.522,51.862,59.263,51.38,57.382,47.032,51.476,53.719,-2.243,-3.093
2020-03-30,56.1,52.83,52.99,55.49,31628600,55.178,53.412,50.61,51.728,59.179,51.193,57.316,69.429,52.093,53.85,-1.757,-2.825
2020-03-31,55.8,53.22,55.06,54.12,48074700,53.816,53.756,51.014,51.635,59.07,51.081,57.213,58.452,52.405,53.87,-1.465,-2.553
2020-04-01,54.69,51.43,52.5,51.88,29586600,51.589,53.88,51.441,51.295,58.896,50.852,57.106,59.02,52.324,53.723,-1.398,-2.322
2020-04-02,54.56,51.22,51.29,54.35,27810000,54.045,53.642,52.282,51.165,58.729,50.76,57.045,67.184,52.636,53.769,-1.133,-2.084
2020-04-03,55.13,52.73,53.85,54.13,23906100,53.826,53.994,53.112,51.083,58.545,50.641,56.986,66.884,52.866,53.796,-0.93,-1.854
2020-04-06,58.77,56.12,56.63,58.43,32323400,58.102,54.582,53.997,51.462,58.344,50.93,56.987,67.608,53.722,54.139,-0.417,-1.566
2020-04-07,61.49,58.21,59.94,58.4,41410000,58.072,55.438,54.597,51.683,58.198,51.167,57.002,63.429,54.442,54.455,-0.013,-1.256
2020-04-08,59.51,57.91,58.99,58.98,26719500,58.649,56.858,55.369,52.049,58.032,51.397,57.007,67.723,55.14,54.79,0.35,-0.935
2020-04-09,59.72,56.06,59.36,57.14,40515400,56.819,57.416,55.529,52.629,57.848,52.048,56.989,54.137,55.448,54.964,0.484,-0.651
2020-04-13,58.77,56.57,56.57,58.7,23251900,58.37,58.33,56.162,52.842,57.692,52.096,56.991,67.851,55.948,55.241,0.707,-0.379
2020-04-14,60.9,59.51,60.04,60.66,25674000,60.319,58.776,56.679,53.645,57.627,52.916,57.01,65.6,56.673,55.642,1.031,-0.097
2020-04-15,59.83,58.39,59.74,58.87,22841600,58.539,58.87,57.154,54.084,57.516,53.305,57.003,63.979,57.011,55.881,1.13,0.148
2020-04-16,60.96,58.81,59.61,60.79,24433500,60.449,59.232,58.045,54.743,57.423,53.961,56.999,76.725,57.592,56.245,1.347,0.388
2020-04-17,62.13,59.83,62.02,60.36,27385600,60.021,59.876,58.646,55.464,57.283,54.734,56.96,70.54,58.018,56.55,1.468,0.604
2020-04-20,60.04,58.89,59.28,59.18,26420300,58.848,59.972,59.151,56.132,57.125,55.615,56.853,66.196,58.197,56.745,1.452,0.774
2020-04-21,58.6,55.93,58.11,56.36,25248000,56.043,59.112,58.944,56.471,56.932,56.083,56.334,42.665,57.914,56.716,1.198,0.859
2020-04-22,60.5,57.81,58.27,60.1,23443700,59.762,59.358,59.114,56.856,56.806,56.536,56.23,54.77,58.251,56.967,1.284,0.944
2020-04-23,60.1,58.81,59.67,59.04,35092000,58.708,59.008,59.12,57.245,56.638,57.037,56.103,50.164,58.372,57.12,1.252,1.005
2020-04-24,59.4,56.1,56.2,59.26,50220500,58.927,58.788,59.332,57.431,56.474,57.318,56.09,56.355,58.509,57.279,1.23,1.05
2020-04-27,59.83,58.39,59.72,59.47,25902200,59.136,58.846,59.409,57.786,56.315,57.665,56.037,52.511,58.657,57.441,1.215,1.083
2020-04-28,60.22,58.26,59.99,58.75,28784700,58.42,59.324,59.218,57.949,56.145,57.829,55.975,43.222,58.671,57.538,1.133,1.093
2020-04-29,62.03,59.32,59.44,61.8,30451500,61.453,59.664,59.511,58.333,56.058,58.335,55.993,59.544,59.152,57.854,1.299,1.134
2020-04-30,61.54,59.75,61.37,59.98,26256000,59.643,59.852,59.43,58.738,55.915,58.733,55.946,47.344,59.28,58.011,1.268,1.161
2020-05-01,59.32,57.31,58.83,57.47,21194800,57.147,59.494,59.141,58.894,55.756,58.897,55.828,41.662,59.001,57.971,1.03,1.135
2020-05-04,58.07,56.31,57.12,57.99,18957200,57.664,59.198,59.022,59.087,55.629,59.065,55.749,46.431,58.846,57.973,0.873,1.082
2020-05-05,59.3,58.35,58.79,58.75,17252100,58.42,59.198,59.261,59.103,55.568,59.091,55.682,58.179,58.831,58.03,0.801,1.026
2020-05-06,59.95,58.94,59.04,59.18,17848700,59.18,58.674,59.169,59.142,55.557,59.148,55.592,45.929,58.885,58.115,0.769,0.975
2020-05-07,60.1,58.92,59.93,59.17,14733500,59.17,58.512,59.182,59.151,55.548,59.157,55.511,50.634,58.929,58.193,0.735,0.927
2020-05-08,59.78,59.05,59.67,59.67,20391100,59.67,58.952,59.223,59.277,55.625,59.339,55.46,51.947,59.043,58.303,0.74,0.889
2020-05-11,60.84,59.71,59.74,60.13,18663600,60.13,59.38,59.289,59.349,55.717,59.398,55.434,53.061,59.21,58.438,0.772,0.866
2020-05-12,60.64,58.26,60.22,58.39,16754900,58.39,59.308,59.253,59.235,55.721,59.298,55.379,48.475,59.084,58.435,0.649,0.823
2020-05-13,59.23,56.9,58.45,57.74,21065000,57.74,59.02,58.847,59.179,55.756,59.251,55.335,28.404,58.877,58.383,0.494,0.757
2020-05-14,59.15,56.1,57.32,59.08,21569400,59.08,59.002,58.757,59.094,55.764,59.166,55.296,44.955,58.908,58.435,0.473,0.7
2020-05-15,58.37,56.96,57.4,58.28,21373300,58.28,58.724,58.838,58.99,55.791,59.059,55.194,55.617,58.812,58.423,0.388,0.638
2020-05-18,60.28,59.36,59.74,59.92,20443700,59.92,58.682,59.031,59.026,55.874,59.089,55.147,61.585,58.982,58.534,0.448,0.6
2020-05-19,61.77,59.85,60.13,60.29,21865000,60.29,59.062,59.185,59.223,56.063,59.291,55.114,59.698,59.183,58.664,0.519,0.584
2020-05-20,63.49,61.02,61.16,63.1,30584000,63.1,60.134,59.577,59.373,56.245,59.494,55.157,68.992,59.786,58.993,0.793,0.626
2020-05-21,63.8,61.82,63.1,61.98,20987700,61.98,60.714,59.858,59.52,56.451,59.641,55.17,62.292,60.123,59.214,0.909,0.682
2020-05-22,62.32,61.42,61.98,62.26,14103000,62.26,61.51,60.117,59.67,56.786,59.771,55.206,61.552,60.452,59.44,1.012,0.748
2020-05-26,64.14,62.12,63.68,62.34,20933600,62.34,61.994,60.338,59.813,56.944,59.917,55.274,60.203,60.743,59.655,1.088,0.816
2020-05-27,63.59,61.07,62.32,63.56,19886300,63.56,62.648,60.855,60.054,57.323,60.172,55.295,75.073,61.176,59.944,1.232,0.899
2020-05-28,63.45,61.49,63,61.7,17253500,61.7,62.368,61.251,60.049,57.555,60.114,55.336,67.187,61.257,60.074,1.183,0.956
2020-05-29,63.66,61.62,61.9,62.93,33395700,62.93,62.558,61.636,60.197,57.862,60.352,55.42,66.871,61.514,60.285,1.229,1.011
2020-06-01,62.66,61.66,62.49,61.86,14317700,61.86,62.478,61.994,60.416,58.18,60.558,55.446,65.325,61.567,60.402,1.165,1.042
2020-06-02,62.17,60.83,61.7,62.12,20702400,62.12,62.434,62.214,60.622,58.506,60.758,55.515,60.68,61.652,60.529,1.123,1.058
2020-06-03,62.54,61.53,62.45,61.93,16737300,61.93,62.108,62.378,60.781,58.753,60.893,55.72,58.103,61.695,60.633,1.062,1.059
2020-06-04,63.47,61.34,61.74,62.97,22010100,62.97,62.362,62.365,60.971,58.964,61.08,55.846,49.222,61.891,60.806,1.085,1.064
2020-06-05,65.11,63.16,63.36,64.34,26813100,64.34,62.644,62.601,61.229,59.226,61.355,56.065,63.721,62.268,61.068,1.2,1.091
2020-06-08,64.15,62.94,63.97,63.67,21546200,63.67,63.006,62.742,61.429,59.389,61.555,56.466,57.842,62.484,61.261,1.223,1.117
2020-06-09,63.71,62.9,62.99,63.04,23594100,63.04,63.19,62.812,61.575,59.602,61.7,56.614,53.669,62.569,61.393,1.177,1.129
2020-06-10,64.29,62.75,62.79,63.87,21367800,63.87,63.578,62.843,61.849,59.77,61.936,57.091,51.694,62.769,61.576,1.193,1.142
2020-06-11,63.3,59.52,63.07,59.7,26998200,59.7,62.924,62.643,61.947,59.881,62.001,57.353,41.274,62.297,61.437,0.86,1.086
2020-06-12,60.96,58.12,60.11,59.33,30404600,59.33,61.922,62.283,61.959,60.03,61.96,57.683,33.019,61.841,61.281,0.56,0.981
2020-06-15,60.36,58.58,59.33,60.1,29651700,60.1,61.208,62.107,62.05,60.145,62.012,58.049,41.456,61.573,61.194,0.379,0.86
2020-06-16,61.65,59.49,61.49,60.4,23226600,60.4,60.68,61.935,62.074,60.271,62.023,58.485,41.683,61.392,61.135,0.258,0.74
2020-06-17,61.28,60.06,60.74,60.49,20442300,60.49,60.004,61.791,62.084,60.312,62.038,58.776,42.969,61.254,61.087,0.167,0.625
2020-06-18,60.51,59.32,60.35,60.08,24899700,60.08,60.08,61.502,61.934,60.345,61.857,59.004,34.964,61.073,61.012,0.061,0.512
2020-06-19,60.89,59.1,60.65,59.62,60336100,59.62,60.138,61.03,61.816,60.358,61.575,59.231,22.874,60.849,60.909,-0.06,0.398
2020-06-22,60.55,58.83,59.73,60.09,22846000,60.09,60.136,60.672,61.707,60.417,61.488,59.343,28.941,60.733,60.849,-0.116,0.295
2020-06-23,60.47,59.86,60.19,59.92,22809600,59.92,60.04,60.36,61.586,60.442,61.38,59.495,30.597,60.608,60.78,-0.172,0.202
2020-06-24,59.81,58.67,59.64,59.09,27764500,59.09,59.76,59.882,61.362,60.41,61.169,59.57,20.274,60.374,60.655,-0.28,0.105
2020-06-25,59.09,57.48,58.98,58.51,21906900,58.51,59.446,59.763,61.203,60.403,61.038,59.729,36.629,60.087,60.496,-0.408,0.002
2020-06-26,58.73,57.07,58.49,57.5,38477500,57.5,59.022,59.58,60.931,60.337,60.652,59.826,32.024,59.689,60.274,-0.585,-0.115
2020-06-29,58.35,56.76,57.47,58.27,22150300,58.27,58.658,59.397,60.752,60.295,60.519,59.904,32.024,59.471,60.125,-0.654,-0.223
2020-06-30,59.98,58.54,58.71,59.83,31542100,59.83,58.64,59.34,60.638,60.308,60.416,59.993,45.512,59.526,60.104,-0.577,-0.294
2020-07-01,60.03,58.76,59.91,58.81,14748100,58.81,58.584,59.172,60.482,60.357,60.324,60.016,38.462,59.416,60.008,-0.592,-0.353
2020-07-02,59.81,58.97,59.19,59.13,15578600,59.13,58.708,59.077,60.29,60.338,60.178,60.052,43.394,59.372,59.943,-0.571,-0.397
2020-07-06,59.62,58.6,58.72,59.54,20536700,59.54,59.116,59.069,60.05,60.348,59.939,60.064,49.44,59.398,59.913,-0.515,-0.42
2020-07-07,59.57,58.14,59.07,58.31,15996500,58.31,59.124,58.891,59.782,60.329,59.732,60.127,38.734,59.23,59.794,-0.564,-0.449
2020-07-08,58.7,57.93,58.45,58.61,13277900,58.61,58.88,58.76,59.56,60.312,59.548,60.136,41.843,59.135,59.706,-0.571,-0.474
2020-07-09,58.75,57.7,58.2,58.42,20683700,58.42,58.802,58.693,59.288,60.305,59.319,60.101,45.467,59.025,59.611,-0.586,-0.496
